name,frame,vis_px,vis_px_pc,total_px,total_px_pc,diff,diff_pc
_tigfCJFLZg_00146,32,5218.0,1.7,6262.0,2.04,1044.0,83.33
_tigfCJFLZg_00146,33,5455.0,1.78,6562.0,2.14,1107.0,83.13
_tigfCJFLZg_00146,34,5558.0,1.81,6902.0,2.25,1344.0,80.53
_tigfCJFLZg_00146,35,5792.0,1.89,7219.0,2.35,1427.0,80.23
_tigfCJFLZg_00146,36,6219.0,2.02,7454.0,2.43,1235.0,83.43
_tigfCJFLZg_00146,37,6594.0,2.15,7843.0,2.55,1249.0,84.07
_tigfCJFLZg_00146,38,6629.0,2.16,7891.0,2.57,1262.0,84.01
_tigfCJFLZg_00146,39,7027.0,2.29,8295.0,2.7,1268.0,84.71
_tigfCJFLZg_00146,40,7242.0,2.36,8489.0,2.76,1247.0,85.31
_tigfCJFLZg_00146,41,7531.0,2.45,8720.0,2.84,1189.0,86.36
_tigfCJFLZg_00146,42,7775.0,2.53,8896.0,2.9,1121.0,87.4
_tigfCJFLZg_00146,43,7916.0,2.58,9054.0,2.95,1138.0,87.43
_tigfCJFLZg_00146,44,7731.0,2.52,8746.0,2.85,1015.0,88.39
_tigfCJFLZg_00146,45,7808.0,2.54,8891.0,2.89,1083.0,87.82
_tigfCJFLZg_00146,46,7403.0,2.41,8390.0,2.73,987.0,88.24
_tigfCJFLZg_00146,47,7336.0,2.39,8330.0,2.71,994.0,88.07
_tigfCJFLZg_00146,48,7104.0,2.31,7998.0,2.6,894.0,88.82
_tigfCJFLZg_00146,49,6999.0,2.28,7870.0,2.56,871.0,88.93
_tigfCJFLZg_00146,50,6623.0,2.16,7434.0,2.42,811.0,89.09
_tigfCJFLZg_00146,51,6557.0,2.13,7389.0,2.41,832.0,88.74
_tigfCJFLZg_00146,52,6571.0,2.14,7390.0,2.41,819.0,88.92
_tigfCJFLZg_00146,53,6521.0,2.12,7256.0,2.36,735.0,89.87
_tigfCJFLZg_00146,54,6352.0,2.07,7129.0,2.32,777.0,89.1
_tigfCJFLZg_00151,0,249.0,0.08,9745.0,3.17,9496.0,2.56
_tigfCJFLZg_00151,1,31.0,0.01,6963.0,2.27,6932.0,0.45
_tigfCJFLZg_00151,2,344.0,0.11,1997.0,0.65,1653.0,17.23
_tigfCJFLZg_00151,3,606.0,0.2,1985.0,0.65,1379.0,30.53
_tigfCJFLZg_00151,4,1546.0,0.5,2533.0,0.82,987.0,61.03
_tigfCJFLZg_00151,5,2416.0,0.79,4299.0,1.4,1883.0,56.2
_tigfCJFLZg_00151,6,3136.0,1.02,4876.0,1.59,1740.0,64.32
_tigfCJFLZg_00151,7,3858.0,1.26,5378.0,1.75,1520.0,71.74
_tigfCJFLZg_00151,8,4418.0,1.44,5771.0,1.88,1353.0,76.56
_tigfCJFLZg_00151,9,5204.0,1.69,6263.0,2.04,1059.0,83.09
_tigfCJFLZg_00151,10,5378.0,1.75,6477.0,2.11,1099.0,83.03
_tigfCJFLZg_00151,11,5447.0,1.77,6552.0,2.13,1105.0,83.13
_tigfCJFLZg_00151,12,5199.0,1.69,6248.0,2.03,1049.0,83.21
_tigfCJFLZg_00151,13,5221.0,1.7,6335.0,2.06,1114.0,82.42
_tigfCJFLZg_00151,14,5672.0,1.85,6740.0,2.19,1068.0,84.15
_tigfCJFLZg_00151,15,5759.0,1.87,6814.0,2.22,1055.0,84.52
_tigfCJFLZg_00151,16,5010.0,1.63,6120.0,1.99,1110.0,81.86
_tigfCJFLZg_00151,17,4637.0,1.51,5854.0,1.91,1217.0,79.21
_tigfCJFLZg_00151,18,4488.0,1.46,5798.0,1.89,1310.0,77.41
_tigfCJFLZg_00151,19,4091.0,1.33,5143.0,1.67,1052.0,79.55
_tigfCJFLZg_00151,20,3714.0,1.21,4945.0,1.61,1231.0,75.11
_tigfCJFLZg_00151,21,3415.0,1.11,4668.0,1.52,1253.0,73.16
_tigfCJFLZg_00151,22,3188.0,1.04,4341.0,1.41,1153.0,73.44
_tigfCJFLZg_00151,23,3370.0,1.1,4520.0,1.47,1150.0,74.56
_tigfCJFLZg_00154,0,169.0,0.06,5229.0,1.7,5060.0,3.23
_tigfCJFLZg_00154,1,1037.0,0.34,3757.0,1.22,2720.0,27.6
_tigfCJFLZg_00154,2,1706.0,0.56,4198.0,1.37,2492.0,40.64
_tigfCJFLZg_00154,3,2534.0,0.82,4231.0,1.38,1697.0,59.89
_tigfCJFLZg_00154,4,2805.0,0.91,4460.0,1.45,1655.0,62.89
_tigfCJFLZg_00154,5,2446.0,0.8,4403.0,1.43,1957.0,55.55
_tigfCJFLZg_00154,6,2576.0,0.84,4643.0,1.51,2067.0,55.48
_tigfCJFLZg_00154,7,2955.0,0.96,5679.0,1.85,2724.0,52.03
_tigfCJFLZg_00154,8,4056.0,1.32,6100.0,1.99,2044.0,66.49
_tigfCJFLZg_00154,9,4878.0,1.59,7070.0,2.3,2192.0,69.0
_tigfCJFLZg_00154,10,5078.0,1.65,7227.0,2.35,2149.0,70.26
_tigfCJFLZg_00154,11,5592.0,1.82,8149.0,2.65,2557.0,68.62
_tigfCJFLZg_00154,12,6275.0,2.04,8211.0,2.67,1936.0,76.42
_tigfCJFLZg_00154,13,7047.0,2.29,9259.0,3.01,2212.0,76.11
_tigfCJFLZg_00154,14,7738.0,2.52,9753.0,3.17,2015.0,79.34
_tigfCJFLZg_00154,15,8519.0,2.77,11082.0,3.61,2563.0,76.87
_tigfCJFLZg_00154,16,8800.0,2.86,11023.0,3.59,2223.0,79.83
_tigfCJFLZg_00154,17,8721.0,2.84,10991.0,3.58,2270.0,79.35
_tigfCJFLZg_00154,18,8819.0,2.87,11107.0,3.62,2288.0,79.4
_tigfCJFLZg_00154,19,8540.0,2.78,11246.0,3.66,2706.0,75.94
_tigfCJFLZg_00154,20,7998.0,2.6,10328.0,3.36,2330.0,77.44
_tigfCJFLZg_00154,21,7622.0,2.48,10013.0,3.26,2391.0,76.12
_tigfCJFLZg_00154,22,7031.0,2.29,9388.0,3.06,2357.0,74.89
_tigfCJFLZg_00157,0,12.0,0.0,4451.0,1.45,4439.0,0.27
_tigfCJFLZg_00157,1,1.0,0.0,4766.0,1.55,4765.0,0.02
_tigfCJFLZg_00157,2,354.0,0.12,7133.0,2.32,6779.0,4.96
_tigfCJFLZg_00157,3,1427.0,0.46,9611.0,3.13,8184.0,14.85
_tigfCJFLZg_00157,4,1764.0,0.57,11856.0,3.86,10092.0,14.88
_tigfCJFLZg_00157,5,2542.0,0.83,13350.0,4.35,10808.0,19.04
_tigfCJFLZg_00157,6,3225.0,1.05,15023.0,4.89,11798.0,21.47
_tigfCJFLZg_00157,7,3623.0,1.18,17073.0,5.56,13450.0,21.22
_tigfCJFLZg_00157,8,3589.0,1.17,18273.0,5.95,14684.0,19.64
_tigfCJFLZg_00157,9,2927.0,0.95,19070.0,6.21,16143.0,15.35
_tigfCJFLZg_00157,10,2887.0,0.94,19949.0,6.49,17062.0,14.47
_tigfCJFLZg_00157,11,2868.0,0.93,20094.0,6.54,17226.0,14.27
_tigfCJFLZg_00157,12,3501.0,1.14,20978.0,6.83,17477.0,16.69
_tigfCJFLZg_00157,13,4632.0,1.51,22048.0,7.18,17416.0,21.01
_tigfCJFLZg_00157,14,5906.0,1.92,21827.0,7.11,15921.0,27.06
_tigfCJFLZg_00157,15,6781.0,2.21,21631.0,7.04,14850.0,31.35
_tigfCJFLZg_00157,16,6937.0,2.26,20603.0,6.71,13666.0,33.67
_tigfCJFLZg_00157,17,7381.0,2.4,19990.0,6.51,12609.0,36.92
_tigfCJFLZg_00157,18,7480.0,2.43,19222.0,6.26,11742.0,38.91
_tigfCJFLZg_00157,19,7142.0,2.32,18661.0,6.07,11519.0,38.27
_tigfCJFLZg_00157,20,6802.0,2.21,17699.0,5.76,10897.0,38.43
_tigfCJFLZg_00157,21,6805.0,2.22,17439.0,5.68,10634.0,39.02
_tigfCJFLZg_00157,22,6753.0,2.2,16971.0,5.52,10218.0,39.79
_tigfCJFLZg_00157,23,6590.0,2.15,16939.0,5.51,10349.0,38.9
_tigfCJFLZg_00157,24,6590.0,2.15,16971.0,5.52,10381.0,38.83
_tigfCJFLZg_00157,25,6632.0,2.16,16704.0,5.44,10072.0,39.7
_tigfCJFLZg_00157,26,7200.0,2.34,15934.0,5.19,8734.0,45.19
_tigfCJFLZg_00157,27,6901.0,2.25,16071.0,5.23,9170.0,42.94
_tigfCJFLZg_00160,0,0.0,0.0,8221.0,2.68,8221.0,0.0
_tigfCJFLZg_00160,1,1224.0,0.4,13115.0,4.27,11891.0,9.33
_tigfCJFLZg_00160,2,1253.0,0.41,13265.0,4.32,12012.0,9.45
_tigfCJFLZg_00160,3,1110.0,0.36,13385.0,4.36,12275.0,8.29
_tigfCJFLZg_00160,4,1146.0,0.37,12036.0,3.92,10890.0,9.52
_tigfCJFLZg_00160,5,1107.0,0.36,12195.0,3.97,11088.0,9.08
_tigfCJFLZg_00160,6,937.0,0.31,12412.0,4.04,11475.0,7.55
_tigfCJFLZg_00160,7,922.0,0.3,11849.0,3.86,10927.0,7.78
_tigfCJFLZg_00160,8,981.0,0.32,11645.0,3.79,10664.0,8.42
_tigfCJFLZg_00160,9,1122.0,0.37,11352.0,3.7,10230.0,9.88
_tigfCJFLZg_00160,10,1064.0,0.35,11503.0,3.74,10439.0,9.25
_tigfCJFLZg_00160,11,1163.0,0.38,11423.0,3.72,10260.0,10.18
_tigfCJFLZg_00160,12,1217.0,0.4,11664.0,3.8,10447.0,10.43
_tigfCJFLZg_00160,13,1168.0,0.38,11498.0,3.74,10330.0,10.16
_tigfCJFLZg_00160,14,1193.0,0.39,11563.0,3.76,10370.0,10.32
_tigfCJFLZg_00160,15,1216.0,0.4,11618.0,3.78,10402.0,10.47
_tigfCJFLZg_00160,16,1040.0,0.34,11132.0,3.62,10092.0,9.34
_tigfCJFLZg_00160,17,995.0,0.32,11261.0,3.67,10266.0,8.84
_tigfCJFLZg_00160,18,854.0,0.28,11041.0,3.59,10187.0,7.73
_tigfCJFLZg_00167,0,42.0,0.01,2420.0,0.79,2378.0,1.74
_tigfCJFLZg_00167,1,279.0,0.09,2364.0,0.77,2085.0,11.8
_tigfCJFLZg_00167,2,745.0,0.24,2494.0,0.81,1749.0,29.87
_tigfCJFLZg_00167,3,1059.0,0.34,2727.0,0.89,1668.0,38.83
_tigfCJFLZg_00167,4,1257.0,0.41,3128.0,1.02,1871.0,40.19
_tigfCJFLZg_00167,5,1391.0,0.45,3411.0,1.11,2020.0,40.78
_tigfCJFLZg_00167,6,1610.0,0.52,3634.0,1.18,2024.0,44.3
_tigfCJFLZg_00167,7,1821.0,0.59,4065.0,1.32,2244.0,44.8
_tigfCJFLZg_00167,8,1974.0,0.64,4128.0,1.34,2154.0,47.82
_tigfCJFLZg_00167,9,2017.0,0.66,4385.0,1.43,2368.0,46.0
_tigfCJFLZg_00167,10,2258.0,0.74,4696.0,1.53,2438.0,48.08
_tigfCJFLZg_00167,11,2234.0,0.73,5062.0,1.65,2828.0,44.13
_tigfCJFLZg_00167,12,2304.0,0.75,4944.0,1.61,2640.0,46.6
_tigfCJFLZg_00167,13,2334.0,0.76,5192.0,1.69,2858.0,44.95
_tigfCJFLZg_00167,14,2550.0,0.83,5324.0,1.73,2774.0,47.9
_tigfCJFLZg_00167,15,2669.0,0.87,5723.0,1.86,3054.0,46.64
_tigfCJFLZg_00167,16,2788.0,0.91,5734.0,1.87,2946.0,48.62
_tigfCJFLZg_00167,17,2823.0,0.92,5889.0,1.92,3066.0,47.94
_tigfCJFLZg_00167,18,2854.0,0.93,5669.0,1.85,2815.0,50.34
_tigfCJFLZg_00167,19,2759.0,0.9,5666.0,1.84,2907.0,48.69
_tigfCJFLZg_00167,20,2782.0,0.91,5467.0,1.78,2685.0,50.89
_tigfCJFLZg_00167,21,2682.0,0.87,5374.0,1.75,2692.0,49.91
_tigfCJFLZg_00167,22,2729.0,0.89,5207.0,1.69,2478.0,52.41
_tigfCJFLZg_00187,0,0.0,0.0,12536.0,4.08,12536.0,0.0
_tigfCJFLZg_00187,1,377.0,0.12,8984.0,2.92,8607.0,4.2
_tigfCJFLZg_00187,2,1717.0,0.56,7119.0,2.32,5402.0,24.12
_tigfCJFLZg_00187,3,2175.0,0.71,4582.0,1.49,2407.0,47.47
_tigfCJFLZg_00187,4,3173.0,1.03,4780.0,1.56,1607.0,66.38
_tigfCJFLZg_00187,5,3915.0,1.27,4453.0,1.45,538.0,87.92
_tigfCJFLZg_00187,6,3190.0,1.04,4470.0,1.46,1280.0,71.36
_tigfCJFLZg_00187,7,3089.0,1.01,4208.0,1.37,1119.0,73.41
_tigfCJFLZg_00187,8,2955.0,0.96,3687.0,1.2,732.0,80.15
_tigfCJFLZg_00187,9,3289.0,1.07,3915.0,1.27,626.0,84.01
_tigfCJFLZg_00187,10,3965.0,1.29,4732.0,1.54,767.0,83.79
_tigfCJFLZg_00187,11,4579.0,1.49,5496.0,1.79,917.0,83.32
_tigfCJFLZg_00187,12,5228.0,1.7,6021.0,1.96,793.0,86.83
_tigfCJFLZg_00187,13,5754.0,1.87,6562.0,2.14,808.0,87.69
_tigfCJFLZg_00187,14,6238.0,2.03,6936.0,2.26,698.0,89.94
_tigfCJFLZg_00187,15,6858.0,2.23,7483.0,2.44,625.0,91.65
_tigfCJFLZg_00187,16,7218.0,2.35,7618.0,2.48,400.0,94.75
_tigfCJFLZg_00187,17,7052.0,2.3,7517.0,2.45,465.0,93.81
_tigfCJFLZg_00187,18,6735.0,2.19,7068.0,2.3,333.0,95.29
_tigfCJFLZg_00187,19,5445.0,1.77,6416.0,2.09,971.0,84.87
_tigfCJFLZg_00187,20,5802.0,1.89,6215.0,2.02,413.0,93.35
_tigfCJFLZg_00187,21,5444.0,1.77,6036.0,1.96,592.0,90.19
_tigfCJFLZg_00203,0,0.0,0.0,2132.0,0.69,2132.0,0.0
_tigfCJFLZg_00203,1,23.0,0.01,2283.0,0.74,2260.0,1.01
_tigfCJFLZg_00203,2,135.0,0.04,2753.0,0.9,2618.0,4.9
_tigfCJFLZg_00203,3,494.0,0.16,3197.0,1.04,2703.0,15.45
_tigfCJFLZg_00203,4,899.0,0.29,4033.0,1.31,3134.0,22.29
_tigfCJFLZg_00203,5,1172.0,0.38,4516.0,1.47,3344.0,25.95
_tigfCJFLZg_00203,6,1400.0,0.46,4974.0,1.62,3574.0,28.15
_tigfCJFLZg_00203,7,1516.0,0.49,5089.0,1.66,3573.0,29.79
_tigfCJFLZg_00203,8,1716.0,0.56,5338.0,1.74,3622.0,32.15
_tigfCJFLZg_00203,9,1835.0,0.6,5696.0,1.85,3861.0,32.22
_tigfCJFLZg_00203,10,1842.0,0.6,5905.0,1.92,4063.0,31.19
_tigfCJFLZg_00203,11,1795.0,0.58,5744.0,1.87,3949.0,31.25
_tigfCJFLZg_00203,12,1768.0,0.58,5621.0,1.83,3853.0,31.45
_tigfCJFLZg_00203,13,1502.0,0.49,5378.0,1.75,3876.0,27.93
_tigfCJFLZg_00203,14,1487.0,0.48,5557.0,1.81,4070.0,26.76
_tigfCJFLZg_00203,15,1155.0,0.38,5227.0,1.7,4072.0,22.1
_tigfCJFLZg_00203,16,1051.0,0.34,5081.0,1.65,4030.0,20.68
_tigfCJFLZg_00203,17,949.0,0.31,4924.0,1.6,3975.0,19.27
_tigfCJFLZg_00203,18,1018.0,0.33,4958.0,1.61,3940.0,20.53
_tigfCJFLZg_00203,19,1106.0,0.36,5133.0,1.67,4027.0,21.55
_tigfCJFLZg_00203,20,1023.0,0.33,4972.0,1.62,3949.0,20.58
_tigfCJFLZg_00203,21,1035.0,0.34,5079.0,1.65,4044.0,20.38
_tigfCJFLZg_00203,22,1088.0,0.35,5010.0,1.63,3922.0,21.72
_tigfCJFLZg_00203,23,1120.0,0.36,5223.0,1.7,4103.0,21.44
_tigfCJFLZg_00203,24,1171.0,0.38,5184.0,1.69,4013.0,22.59
_tigfCJFLZg_00203,25,1181.0,0.38,5145.0,1.67,3964.0,22.95
_tigfCJFLZg_00203,26,1402.0,0.46,5258.0,1.71,3856.0,26.66
_tigfCJFLZg_00203,27,1504.0,0.49,5460.0,1.78,3956.0,27.55
_tigfCJFLZg_00203,28,1599.0,0.52,5588.0,1.82,3989.0,28.61
_tigfCJFLZg_00203,29,1693.0,0.55,5637.0,1.83,3944.0,30.03
_tigfCJFLZg_00203,30,1920.0,0.62,5933.0,1.93,4013.0,32.36
_tigfCJFLZg_00203,31,2090.0,0.68,6045.0,1.97,3955.0,34.57
_tigfCJFLZg_00203,32,2267.0,0.74,6127.0,1.99,3860.0,37.0
_tigfCJFLZg_00203,33,2403.0,0.78,6157.0,2.0,3754.0,39.03
_tigfCJFLZg_00203,34,2539.0,0.83,6283.0,2.05,3744.0,40.41
_tigfCJFLZg_00203,35,2720.0,0.89,6568.0,2.14,3848.0,41.41
_tigfCJFLZg_00203,36,2857.0,0.93,6738.0,2.19,3881.0,42.4
_tigfCJFLZg_00203,37,2925.0,0.95,6807.0,2.22,3882.0,42.97
_tigfCJFLZg_00203,38,2903.0,0.94,6710.0,2.18,3807.0,43.26
_tigfCJFLZg_00203,39,2984.0,0.97,6948.0,2.26,3964.0,42.95
_tigfCJFLZg_00203,40,2984.0,0.97,6948.0,2.26,3964.0,42.95
_tigfCJFLZg_00203,41,2950.0,0.96,6889.0,2.24,3939.0,42.82
_tigfCJFLZg_00203,42,2991.0,0.97,7080.0,2.3,4089.0,42.25
_tigfCJFLZg_00203,43,3140.0,1.02,7153.0,2.33,4013.0,43.9
_tigfCJFLZg_00203,44,3185.0,1.04,7032.0,2.29,3847.0,45.29
_tigfCJFLZg_00203,45,3244.0,1.06,7113.0,2.32,3869.0,45.61
_tigfCJFLZg_00203,46,3334.0,1.09,7289.0,2.37,3955.0,45.74
_tigfCJFLZg_00206,0,73.0,0.02,479.0,0.16,406.0,15.24
_tigfCJFLZg_00206,1,148.0,0.05,552.0,0.18,404.0,26.81
_tigfCJFLZg_00206,2,392.0,0.13,848.0,0.28,456.0,46.23
_tigfCJFLZg_00206,3,658.0,0.21,1246.0,0.41,588.0,52.81
_tigfCJFLZg_00206,4,942.0,0.31,1643.0,0.53,701.0,57.33
_tigfCJFLZg_00206,5,1135.0,0.37,2193.0,0.71,1058.0,51.76
_tigfCJFLZg_00206,6,1270.0,0.41,2673.0,0.87,1403.0,47.51
_tigfCJFLZg_00206,7,1389.0,0.45,2963.0,0.96,1574.0,46.88
_tigfCJFLZg_00206,8,1233.0,0.4,3661.0,1.19,2428.0,33.68
_tigfCJFLZg_00206,9,1229.0,0.4,4211.0,1.37,2982.0,29.19
_tigfCJFLZg_00206,10,1358.0,0.44,4235.0,1.38,2877.0,32.07
_tigfCJFLZg_00206,11,1445.0,0.47,4529.0,1.47,3084.0,31.91
_tigfCJFLZg_00206,12,1663.0,0.54,4735.0,1.54,3072.0,35.12
_tigfCJFLZg_00206,13,1621.0,0.53,4944.0,1.61,3323.0,32.79
_tigfCJFLZg_00206,14,1934.0,0.63,5290.0,1.72,3356.0,36.56
_tigfCJFLZg_00206,15,1987.0,0.65,5627.0,1.83,3640.0,35.31
_tigfCJFLZg_00206,16,2019.0,0.66,5928.0,1.93,3909.0,34.06
_tigfCJFLZg_00206,17,2369.0,0.77,6416.0,2.09,4047.0,36.92
_tigfCJFLZg_00206,18,2765.0,0.9,6404.0,2.08,3639.0,43.18
_tigfCJFLZg_00206,19,2827.0,0.92,6520.0,2.12,3693.0,43.36
_tigfCJFLZg_00206,20,2722.0,0.89,6403.0,2.08,3681.0,42.51
_tigfCJFLZg_00206,21,2326.0,0.76,6403.0,2.08,4077.0,36.33
_tigfCJFLZg_00206,22,2139.0,0.7,6003.0,1.95,3864.0,35.63
_tigfCJFLZg_00206,23,1830.0,0.6,5875.0,1.91,4045.0,31.15
_tigfCJFLZg_00206,24,1616.0,0.53,5435.0,1.77,3819.0,29.73
_tigfCJFLZg_00206,25,1452.0,0.47,5552.0,1.81,4100.0,26.15
_tigfCJFLZg_00206,26,1407.0,0.46,5533.0,1.8,4126.0,25.43
_tigfCJFLZg_00206,27,1327.0,0.43,5758.0,1.87,4431.0,23.05
_tigfCJFLZg_00206,28,1183.0,0.39,5557.0,1.81,4374.0,21.29
_tigfCJFLZg_00206,29,1346.0,0.44,5924.0,1.93,4578.0,22.72
_tigfCJFLZg_00206,30,1615.0,0.53,6376.0,2.08,4761.0,25.33
_tigfCJFLZg_00206,31,1798.0,0.59,6756.0,2.2,4958.0,26.61
_tigfCJFLZg_00206,32,1906.0,0.62,7135.0,2.32,5229.0,26.71
_tigfCJFLZg_00206,33,2045.0,0.67,7367.0,2.4,5322.0,27.76
_tigfCJFLZg_00206,34,2138.0,0.7,7654.0,2.49,5516.0,27.93
_tigfCJFLZg_00206,35,2291.0,0.75,7700.0,2.51,5409.0,29.75
_tigfCJFLZg_00206,36,2456.0,0.8,7972.0,2.6,5516.0,30.81
_tigfCJFLZg_00206,37,2640.0,0.86,8097.0,2.64,5457.0,32.6
_tigfCJFLZg_00206,38,2791.0,0.91,8076.0,2.63,5285.0,34.56
_tigfCJFLZg_00206,39,2915.0,0.95,8048.0,2.62,5133.0,36.22
_tigfCJFLZg_00206,40,3081.0,1.0,8383.0,2.73,5302.0,36.75
_tigfCJFLZg_00206,41,3205.0,1.04,8700.0,2.83,5495.0,36.84
_tigfCJFLZg_00206,42,3306.0,1.08,8954.0,2.91,5648.0,36.92
_tigfCJFLZg_00206,43,3437.0,1.12,8976.0,2.92,5539.0,38.29
_tigfCJFLZg_00206,44,3531.0,1.15,9297.0,3.03,5766.0,37.98
_tigfCJFLZg_00206,45,3626.0,1.18,9376.0,3.05,5750.0,38.67
_tigfCJFLZg_00206,46,3751.0,1.22,9597.0,3.12,5846.0,39.09
_tigfCJFLZg_00206,47,3967.0,1.29,9635.0,3.14,5668.0,41.17
_tigfCJFLZg_00206,48,4089.0,1.33,9924.0,3.23,5835.0,41.2
_tigfCJFLZg_00206,49,4188.0,1.36,10138.0,3.3,5950.0,41.31
_tigfCJFLZg_00206,50,4148.0,1.35,10112.0,3.29,5964.0,41.02
_tigfCJFLZg_00206,51,4217.0,1.37,10305.0,3.35,6088.0,40.92
_tigfCJFLZg_00206,52,4585.0,1.49,10603.0,3.45,6018.0,43.24
_tigfCJFLZg_00206,53,4617.0,1.5,10721.0,3.49,6104.0,43.07
_tigfCJFLZg_00206,54,5710.0,1.86,10929.0,3.56,5219.0,52.25
_tigfCJFLZg_00206,55,4734.0,1.54,11006.0,3.58,6272.0,43.01
_tigfCJFLZg_00206,56,4850.0,1.58,11286.0,3.67,6436.0,42.97
_tigfCJFLZg_00206,57,4894.0,1.59,11488.0,3.74,6594.0,42.6
_tigfCJFLZg_00206,58,4898.0,1.59,11781.0,3.83,6883.0,41.58
_tigfCJFLZg_00206,59,5004.0,1.63,11842.0,3.85,6838.0,42.26
_tigfCJFLZg_00206,60,5028.0,1.64,11973.0,3.9,6945.0,41.99
_tigfCJFLZg_00206,61,5058.0,1.65,12077.0,3.93,7019.0,41.88
_tigfCJFLZg_00206,62,5121.0,1.67,12143.0,3.95,7022.0,42.17
_tigfCJFLZg_00206,63,5168.0,1.68,12203.0,3.97,7035.0,42.35
_tigfCJFLZg_00206,64,5086.0,1.66,12179.0,3.96,7093.0,41.76
_tigfCJFLZg_00206,65,5185.0,1.69,12358.0,4.02,7173.0,41.96
_tigfCJFLZg_00206,66,5187.0,1.69,12327.0,4.01,7140.0,42.08
_tigfCJFLZg_00206,67,5189.0,1.69,12325.0,4.01,7136.0,42.1
_tigfCJFLZg_00206,68,4786.0,1.56,10682.0,3.48,5896.0,44.8
_tigfCJFLZg_00209,0,210.0,0.07,10953.0,3.57,10743.0,1.92
_tigfCJFLZg_00209,1,61.0,0.02,2733.0,0.89,2672.0,2.23
_tigfCJFLZg_00209,2,164.0,0.05,2573.0,0.84,2409.0,6.37
_tigfCJFLZg_00209,3,226.0,0.07,2360.0,0.77,2134.0,9.58
